Transporteur;Gare origine;Gare origine - code UIC;Destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
TGV INOUI;GRENOBLE;87747006;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;171
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;97
TGV INOUI;PARIS EST;87113001;THIONVILLE;87191007;1;Tarif Normal;24;138
TGV INOUI;SURGERES;87485227;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;29;150
TGV INOUI;GRENOBLE;87747006;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;108
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;25;107
TGV INOUI;METZ VILLE;87192039;PARIS EST;87113001;2;Tarif Normal;20;77
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;NIORT;87485300;2;Tarif Normal;20;90
TGV INOUI;RIVES;87747246;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;39;96
TGV INOUI;NIMES;87775007;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;184
TGV INOUI;STRASBOURG;87212027;PARIS EST;87113001;1;Tarif Normal;29;165
TGV INOUI;LILLE EUROPE;87223263;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17;95
TGV INOUI;ST MAIXENT DEUX SEVRES;87485490;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;145
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;TOULON;87755009;2;Tarif Normal;25;121
TGV INOUI;BEZIERS;87781005;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;190
TGV INOUI;STRASBOURG;87212027;PARIS EST;87113001;2;Tarif Normal;25;107
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Normal;15;35
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;LIBOURNE;87584052;1;Tarif Normal;24;153
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;NICE VILLE;87756056;1;Tarif Normal;31;218
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;AGDE;87781278;2;Tarif Normal;25;116
TGV INOUI;PARIS EST;87113001;SAVERNE;87212225;2;Tarif Normal;25;85
TGV INOUI;DUNKERQUE;87281006;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;66
TGV INOUI;AGEN;87586008;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;199
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;ANTIBES;87757674;1;Tarif Normal;31;218
TGV INOUI;NANCY;87141002;PARIS EST;87113001;2;Tarif Normal;20;77
TGV INOUI;NANCY;87141002;LUNEVILLE;87141150;1;Tarif Normal;12;14
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;BELFORT-MONTBELIARD TGV;87300822;2;Tarif Normal;20;97
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;MONTAUBAN VILLE BOURBON;87611244;2;Tarif Normal;25;120
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;29;158
TGV INOUI;PARIS EST;87113001;TOUL;87141044;2;Tarif Normal;31;77
TGV INOUI;NANCY;87141002;REMIREMONT;87144451;1;Tarif Normal;11;37
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;TGV HAUTE PICARDIE;87313882;1;Tarif Normal;17;58
TGV INOUI;CARCASSONNE;87615286;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;36;187
TGV INOUI;MARNE LA VALLEE CHESSY;87111849;SETE;87773200;2;Tarif Normal;25;116
